StateAb,Year,PartyAb,DivisionNm,TotalVotesGRN,TotalVotesDIV,grn_pc
NSW,2022,GRN,Banks,8063,92045,8.759845727633223
NSW,2022,GRN,Barton,11441,91623,12.487039280529997
NSW,2022,GRN,Bennelong,11395,99648,11.435252087347463
NSW,2022,GRN,Berowra,14536,93306,15.578848091226716
NSW,2022,GRN,Blaxland,5187,81677,6.350625022956279
NSW,2022,GRN,Bradfield,8960,96704,9.265387160820648
NSW,2022,GRN,Calare,4891,107319,4.557440900492923
NSW,2022,GRN,Chifley,5622,97189,5.784605253680972
NSW,2022,GRN,Cook,9685,97817,9.901141928294672
NSW,2022,GRN,Cowper,6518,111236,5.859613794095437
NSW,2022,GRN,Cunningham,22011,101671,21.649241179884136
NSW,2022,GRN,Dobell,8700,101717,8.55314254254451
NSW,2022,GRN,Eden-Monaro,9376,101517,9.235891525557296
NSW,2022,GRN,Farrer,9163,100582,9.109979916883738
NSW,2022,GRN,Fowler,4191,85903,4.878758599816072
NSW,2022,GRN,Gilmore,11417,111705,10.220670516091491
NSW,2022,GRN,Grayndler,20846,94573,22.042231926659827
NSW,2022,GRN,Greenway,7086,100539,7.048011219526751
NSW,2022,GRN,Hughes,6118,96909,6.313139130524513
NSW,2022,GRN,Hume,5194,104762,4.9579045837231055
NSW,2022,GRN,Hunter,9562,107727,8.87614061470198
NSW,2022,GRN,Kingsford Smith,16401,97466,16.82740648020848
NSW,2022,GRN,Lindsay,8404,104726,8.024750300784905
NSW,2022,GRN,Lyne,8422,107248,7.85282709234671
NSW,2022,GRN,Macarthur,8584,111127,7.724495397158207
NSW,2022,GRN,Mackellar,6032,98991,6.093483245951652
NSW,2022,GRN,Macquarie,9115,95452,9.549302267108075
NSW,2022,GRN,McMahon,4922,84742,5.808217884874088
NSW,2022,GRN,Mitchell,12796,108193,11.827012838168828
NSW,2022,GRN,New England,7524,97272,7.735011102886751
NSW,2022,GRN,Newcastle,21195,105627,20.06589224346048
NSW,2022,GRN,Page,8863,104569,8.475743289120102
NSW,2022,GRN,Parkes,4214,89080,4.730579254602604
NSW,2022,GRN,Parramatta,7546,84265,8.955082181214028
NSW,2022,GRN,Paterson,8677,114885,7.552770161465813
NSW,2022,GRN,Reid,9184,97976,9.373724177349555
NSW,2022,GRN,Richmond,25216,99784,25.270584462438865
NSW,2022,GRN,Riverina,6349,98664,6.434971215438255
NSW,2022,GRN,Robertson,9642,96210,10.021827252884316
NSW,2022,GRN,Shortland,9910,100299,9.88045743227749
NSW,2022,GRN,Sydney,23732,103125,23.012848484848487
NSW,2022,GRN,Warringah,6910,93334,7.403518546296098
NSW,2022,GRN,Watson,8200,85727,9.565247821573134
NSW,2022,GRN,Wentworth,7410,88923,8.333052191221618
NSW,2022,GRN,Werriwa,6772,100631,6.72953662390317
NSW,2022,GRN,Whitlam,11779,109337,10.773114316288174
