StateAb,on_votes,Year,state_votes,state_formal
NSW,302438,2025,4986832,4986832
NT,8305,2025,106807,106807
QLD,229746,2025,3224436,3224436
SA,62131,2025,1164072,1164072
TAS,19218,2025,371790,371790
VIC,182228,2025,4101762,4101762
WA,95230,2025,1622016,1622016
ACT,NA,2025,293474,293474
