StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
VIC,203,Calwell,40654,YOUHANA,Joseph,6,N,N,IND,Independent,8247,151,15,156,1072,9641,10.73
VIC,203,Calwell,41084,GARCHA,Ravneet Kaur,7,N,N,GRN,The Greens,5203,541,8,300,1397,7449,-1.46
VIC,203,Calwell,41362,ISSA,Assaad,8,N,N,CYA,Trumpet of Patriots,1431,134,2,94,550,2211,0.68
VIC,203,Calwell,40860,ABDO,Basem,9,N,N,ALP,Australian Labor Party,19997,1132,39,816,5432,27416,-14.35
VIC,203,Calwell,41196,PEACH,Morgan,10,N,N,NAFD,NA,294,29,0,21,143,487,0.54
VIC,203,Calwell,40700,HAWLI,Bassima,11,N,N,CEC,Citizens Party,1951,110,5,37,521,2624,2.92
VIC,203,Calwell,41940,RAGUPATHY,Ravi,12,N,N,IND,Independent,386,25,3,17,70,501,0.56
VIC,203,Calwell,40752,GHANI,Usman,13,N,N,LP,Liberal,9904,556,15,541,3089,14105,-8.01
VIC,203,Calwell,999,Informal,Informal,999,N,N,NA,Informal,8795,549,16,306,951,10617,4.28
VIC,204,Casey,41389,COURTIS,Phillip,1,N,N,CYA,Trumpet of Patriots,2713,194,9,139,673,3728,2.66
VIC,204,Casey,41507,LIVORI,Ambere,2,N,N,ON,Pauline Hanson's One Nation,4169,281,7,180,973,5610,1.8
VIC,204,Casey,41319,BOND,Chloe,3,N,N,AJP,Animal Justice Party,1682,137,7,60,497,2383,0.36
VIC,204,Casey,41576,NEBAUER,Dan,4,N,N,FFP,Family First,2535,126,7,95,400,3163,2.86
VIC,204,Casey,41083,BLAIR,Merran,5,N,N,GRN,The Greens,9594,731,10,435,1344,12114,-2.18
VIC,204,Casey,40857,OAKLEY,Naomi,6,N,N,ALP,Australian Labor Party,20512,973,39,756,4539,26819,-0.81
VIC,204,Casey,36746,FERRES MILES,Claire,7,N,N,IND,Independent,9355,301,22,278,1661,11617,2.45
VIC,204,Casey,40757,VIOLI,Aaron,8,N,Y,LP,Liberal,33053,1123,39,1139,9841,45195,4.27
VIC,204,Casey,999,Informal,Informal,999,N,N,NA,Informal,4101,255,4,137,520,5017,-1.81
VIC,205,Chisholm,41086,RANDALL,Tim,1,N,N,GRN,The Greens,10426,931,21,664,2057,14099,-1.55
VIC,205,Chisholm,41551,ONG,Gary,2,N,N,FFP,Family First,1643,142,5,102,533,2425,2.15
VIC,205,Chisholm,41519,LIVORI,Guy,3,N,N,ON,Pauline Hanson's One Nation,1436,149,2,93,481,2161,0.96
VIC,205,Chisholm,40754,ALLEN,Katie,4,N,N,LP,Liberal,29610,1319,37,1208,9787,41961,-1.97
VIC,205,Chisholm,41379,McSHANE,Christine,5,N,N,CYA,Trumpet of Patriots,1157,119,0,66,390,1732,1.02
VIC,205,Chisholm,40845,GARLAND,Carina,6,Y,Y,ALP,Australian Labor Party,32175,1504,41,1426,8500,43646,3.96
VIC,205,Chisholm,41144,DAVIES,Kath,7,N,N,IND,Independent,5185,242,9,192,1058,6686,5.93
VIC,205,Chisholm,999,Informal,Informal,999,N,N,NA,Informal,2111,125,2,77,399,2714,-1.64
VIC,320,Cooper,41564,TURNER,William,1,N,N,ON,Pauline Hanson's One Nation,4066,327,10,211,1085,5699,2.4
VIC,320,Cooper,40856,KEARNEY,Ged,2,N,Y,ALP,Australian Labor Party,34477,1658,74,1328,7616,45153,1.26
VIC,320,Cooper,41089,BURNETT,Tara,3,N,N,GRN,The Greens,21171,1629,67,1207,3075,27149,-3.19
VIC,320,Cooper,40767,TODHUNTER,Stewart,4,N,N,LP,Liberal,11638,714,13,567,3347,16279,-1.09
VIC,320,Cooper,41002,LARKIN,Kath,5,N,N,VNS,Victorian Socialists,7599,385,20,257,750,9011,4.92
VIC,320,Cooper,41206,STOLZENBERG,Donna,6,N,N,HMP,Legalise Cannabis Party,3143,340,4,179,672,4338,4.03
VIC,320,Cooper,999,Informal,Informal,999,N,N,NA,Informal,2630,160,7,84,285,3166,-1.33
VIC,328,Corangamite,41191,LOCKHART,Kate,1,N,N,IND,Independent,3314,173,1,149,920,4557,4.39
VIC,328,Corangamite,41380,JACKSON,James,2,N,N,CYA,Trumpet of Patriots,1672,136,3,90,551,2452,1.51
VIC,328,Corangamite,41911,BARKER,Paul,3,N,N,LTP,Libertarian,932,64,1,49,226,1272,1.22
VIC,328,Corangamite,41088,POPE,Mitch,4,N,N,GRN,The Greens,11458,744,18,574,2087,14881,-1
VIC,328,Corangamite,41510,SEABROOK,Colin,5,N,N,ON,Pauline Hanson's One Nation,2232,162,0,147,800,3341,0.78
VIC,328,Corangamite,40877,COKER,Libby,6,N,Y,ALP,Australian Labor Party,28968,1187,28,1106,7472,38761,-1.09
VIC,328,Corangamite,41224,MACKENZIE,Harley,7,N,N,HMP,Legalise Cannabis Party,2270,181,2,117,587,3157,3.04
VIC,328,Corangamite,40773,DUNSTAN,Darcy,8,N,N,LP,Liberal,25349,814,16,1125,8152,35456,0.11
VIC,328,Corangamite,999,Informal,Informal,999,N,N,NA,Informal,3164,181,4,135,532,4016,-0.14
VIC,208,Corio,41515,HELMAN,Adam,1,N,N,ON,Pauline Hanson's One Nation,8407,412,10,314,1821,10964,6.02
VIC,208,Corio,41251,HATHWAY,Sarah,2,N,N,SAL,Socialist Alliance,2628,113,4,74,393,3212,0.52
