StateAb,grn_votes,Year,state_votes,state_informal,state_formal
ACT,43753,2025,297796,7231,290565
NSW,530310,2025,5213251,419974,4793277
NT,10813,2025,110159,4397,105762
QLD,370313,2025,3313112,163467,3149645
SA,151915,2025,1195145,62907,1132238
TAS,40833,2025,383575,16316,367259
VIC,550659,2025,4232502,179444,4053058
WA,191389,2025,1664201,65745,1598456
