StateAb,grn_votes,Year,state_votes,state_formal
ACT,29360,2022,285217,285217
NSW,550069,2022,4800722,4800722
NT,12707,2022,103617,103617
QLD,373460,2022,3013868,3013868
SA,134908,2022,1128524,1128524
TAS,55899,2022,361048,361048
VIC,529429,2022,3821539,3821539
WA,217571,2022,1526123,1526123
