StateAb,Year,PartyAb,DivisionNm,TotalVotesGRN,TotalVotesDIV,grn_pc
NSW,2022,GRN,Banks,8063,92045,8.759845727633223
NSW,2025,GRN,Banks,11756,98935,11.882549148430787
NSW,2022,GRN,Barton,11441,91623,12.487039280529997
NSW,2025,GRN,Barton,15885,99951,15.892787465858271
NSW,2022,GRN,Bennelong,11395,99648,11.435252087347463
NSW,2025,GRN,Bennelong,12931,109812,11.775580082322515
NSW,2022,GRN,Berowra,14536,93306,15.578848091226716
NSW,2025,GRN,Berowra,13781,115568,11.924581198947806
NSW,2022,GRN,Blaxland,5187,81677,6.350625022956279
NSW,2025,GRN,Blaxland,6854,86886,7.888497571530512
NSW,2022,GRN,Bradfield,8960,96704,9.265387160820648
NSW,2025,GRN,Bradfield,7554,112230,6.730820636193531
NSW,2022,GRN,Calare,4891,107319,4.557440900492923
NSW,2025,GRN,Calare,3753,106267,3.5316702268813462
NSW,2022,GRN,Chifley,5622,97189,5.784605253680972
NSW,2025,GRN,Chifley,8724,89414,9.756861341624354
NSW,2022,GRN,Cook,9685,97817,9.901141928294672
NSW,2025,GRN,Cook,10575,106364,9.942273701628372
NSW,2022,GRN,Cowper,6518,111236,5.859613794095437
NSW,2025,GRN,Cowper,4552,107735,4.225182159929457
NSW,2022,GRN,Cunningham,22011,101671,21.649241179884136
NSW,2025,GRN,Cunningham,23584,115474,20.423645149557476
NSW,2022,GRN,Dobell,8700,101717,8.55314254254451
NSW,2025,GRN,Dobell,10647,103427,10.294217177332806
NSW,2022,GRN,Eden-Monaro,9376,101517,9.235891525557296
NSW,2025,GRN,Eden-Monaro,10739,107088,10.02820110563275
NSW,2022,GRN,Farrer,9163,100582,9.109979916883738
NSW,2025,GRN,Farrer,5085,103063,4.933875396602079
NSW,2022,GRN,Fowler,4191,85903,4.878758599816072
NSW,2025,GRN,Fowler,6288,92938,6.765800856484969
NSW,2022,GRN,Gilmore,11417,111705,10.220670516091491
NSW,2025,GRN,Gilmore,7932,111053,7.142535546090606
NSW,2022,GRN,Grayndler,20846,94573,22.042231926659827
NSW,2025,GRN,Grayndler,27847,110878,25.11499125164595
