StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
NSW,107,Blaxland,41478,NGUYEN,Courtney,1,N,N,LP,Liberal,12199,788,24,621,3392,17024,-7.58
NSW,107,Blaxland,41316,CLARE,Jason,2,N,Y,ALP,Labor,31701,1412,41,1203,5642,39999,-5.54
NSW,107,Blaxland,41888,KLIEVENS,Mitchell,3,N,N,ON,Pauline Hanson's One Nation,2086,180,3,92,729,3090,-0.89
NSW,107,Blaxland,41578,SAKR,Omar,4,N,N,GRN,The Greens,5313,421,15,237,869,6855,1.07
NSW,107,Blaxland,41850,LUO,Mike,5,N,N,LTP,Libertarian,1590,74,2,51,186,1903,2.19
NSW,107,Blaxland,41786,DI GIROLAMO,Jennifer,6,N,N,FFP,Family First,1202,120,4,68,332,1726,1.99
NSW,107,Blaxland,41982,OUF,Ahmed,7,N,N,IND,Independent,14589,439,36,192,1062,16318,18.77
NSW,107,Blaxland,999,Informal,Informal,999,N,N,NA,Informal,11106,628,26,235,799,12794,1.29
NSW,108,Bradfield,42097,GUNNING,Samuel Joseph,1,N,N,LTP,Libertarian,1047,89,1,57,178,1372,1.22
NSW,108,Bradfield,41511,SINGH,Harjit,2,N,N,GRN,The Greens,5947,408,12,380,826,7573,-1.88
NSW,108,Bradfield,41989,YIN,Andy,3,N,N,IND,Independent,3842,96,2,157,550,4647,4.13
NSW,108,Bradfield,41324,McCALLUM,Louise,4,N,N,ALP,Labor,18225,809,37,896,2846,22813,2.56
NSW,108,Bradfield,41891,MANTON,John,5,N,N,ON,Pauline Hanson's One Nation,1347,85,1,64,229,1726,0.07
NSW,108,Bradfield,41464,KAPTERIAN,Gisele,6,N,N,LP,Liberal,34796,853,60,957,6108,42774,-5.61
NSW,108,Bradfield,36047,BOELE,Nicolette,7,N,N,IND,Independent,25945,504,38,661,3194,30342,10.93
NSW,108,Bradfield,41790,MULLIGAN,Rosemary,8,N,N,CYA,Trumpet of Patriots,901,63,2,42,158,1166,1.04
NSW,108,Bradfield,999,Informal,Informal,999,N,N,NA,Informal,5386,267,8,191,576,6428,1.5
NSW,109,Calare,41902,HUGHES,Jennifer,1,N,N,ON,Pauline Hanson's One Nation,7169,199,11,283,556,8218,-0.71
NSW,109,Calare,41931,RAYE,Sue,2,N,N,HMP,Legalise Cannabis Party,3688,191,1,129,163,4172,3.92
NSW,109,Calare,35951,HOOK,Kate,3,N,N,IND,Independent,15214,241,11,388,909,16763,-4.64
NSW,109,Calare,41770,O'LEARY,Vicki Elizabeth,4,N,N,CYA,Trumpet of Patriots,1339,63,1,73,109,1585,1.49
NSW,109,Calare,41518,PARKER,Ben,5,N,N,GRN,The Greens,3128,167,4,190,273,3762,-1.02
NSW,109,Calare,41678,HAZELTON,Ross Angus,6,N,N,FFP,Family First,1503,58,5,68,98,1732,1.63
NSW,109,Calare,36348,GEE,Andrew,7,N,Y,IND,Independent,22441,336,14,617,1763,25171,23.67
NSW,109,Calare,41649,LESAGE,Jase,8,N,N,ASP,"Shooters, Fishers and Farmers Party",1869,86,0,114,182,2251,2.12
NSW,109,Calare,41345,CUNNINGHAM,Julie,9,N,N,ALP,Labor,9703,267,17,369,752,11108,-4.69
NSW,109,Calare,42037,FARRAWAY,Sam,10,N,N,NP,The Nationals,28550,370,16,659,1981,31576,-17.98
NSW,109,Calare,999,Informal,Informal,999,N,N,NA,Informal,8551,180,11,196,267,9205,3.98
NSW,111,Chifley,41791,GREEN,Jamie,1,N,N,FFP,Family First,4430,402,8,145,367,5352,6.01
NSW,111,Chifley,40694,BURNS,Leigh,2,N,N,IND,Independent,1221,85,2,51,155,1514,1.7
NSW,111,Chifley,41527,SINGH,Sukhjinder Pal,3,N,N,GRN,The Greens,7454,410,13,213,592,8682,4.07
NSW,111,Chifley,41323,HUSIC,Ed,4,N,Y,ALP,Labor,39738,1517,24,974,4624,46877,-0.36
NSW,111,Chifley,41599,GREEN,Allan,5,N,N,LP,Liberal,14321,651,9,456,2090,17527,-4.94
NSW,111,Chifley,41906,NIKOLIC,Tony,6,N,N,ON,Pauline Hanson's One Nation,4275,249,0,105,686,5315,-0.24
NSW,111,Chifley,41748,ARCHER,Ryan,7,N,N,CYA,Trumpet of Patriots,1784,123,2,74,250,2233,2.51
NSW,111,Chifley,40874,LAXMANALAL,Rohan,8,N,N,AJP,Animal Justice Party,1225,92,0,33,205,1555,1.75
NSW,111,Chifley,999,Informal,Informal,999,N,N,NA,Informal,12482,588,16,247,616,13949,4.65
NSW,112,Cook,41788,FULLER,Natalie,1,N,N,FFP,Family First,2777,169,4,89,274,3313,3.11
NSW,112,Cook,41452,KENNEDY,Simon,2,Y,Y,LP,Liberal,43524,981,71,1012,5531,51119,-5.66
NSW,112,Cook,41766,HAMMOND,Sharon,3,N,N,CYA,Trumpet of Patriots,2725,132,5,80,304,3246,3.05
NSW,112,Cook,41336,EARLE,Simon,4,N,N,ALP,Labor,28655,883,43,713,3180,33474,7.46
NSW,112,Cook,41548,MOORE,Martin,5,N,N,GRN,The Greens,8959,442,12,323,841,10577,0.5
NSW,112,Cook,41913,PRESTON,Mark,6,N,N,ON,Pauline Hanson's One Nation,3819,188,5,131,504,4647,-0.05
NSW,112,Cook,999,Informal,Informal,999,N,N,NA,Informal,4471,179,1,84,297,5032,0.44
NSW,113,Cowper,41332,VIGORS,Greg,1,N,N,ALP,Labor,10591,385,14,515,1212,12717,-2.2
NSW,113,Cowper,41718,DALEY,Zeke,2,N,N,IND,Independent,718,28,1,59,90,896,0.83
NSW,113,Cowper,41443,MATHEW,Megan,3,N,N,HMP,Legalise Cannabis Party,4490,267,5,196,237,5195,4.82
NSW,113,Cowper,41775,SHANNON,Geoffrey,4,N,N,CYA,Trumpet of Patriots,1295,72,4,75,105,1551,1.44
NSW,113,Cowper,41937,CONAGHAN,Pat,5,N,Y,NP,The Nationals,35892,443,15,854,3629,40833,-1.63
NSW,113,Cowper,41689,TEMPLETON,Paul,6,N,N,LTP,Libertarian,1137,68,1,89,108,1403,1.3
NSW,113,Cowper,41798,JACKEL,Peter,7,N,N,FFP,Family First,1617,75,1,71,101,1865,1.73
NSW,113,Cowper,41528,FIREFLY,Wendy,8,N,N,GRN,The Greens,3748,220,4,236,360,4568,-1.61
