StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1574059,37.79,51596,35.27,2321,37.2,54386,37.03,189826,37.38,1872188,37.65
NSW,LPNP,Liberal & Nationals,1215219,29.17,32372,22.13,1391,22.3,39176,26.68,175704,34.6,1463862,29.44
NSW,GRN,The Greens,469810,11.28,22214,15.19,968,15.52,20406,13.9,43503,8.57,556901,11.2
NSW,HMP,Legalise Cannabis Party,147865,3.55,9172,6.27,294,4.71,5311,3.62,10602,2.09,173244,3.48
NSW,CYA,Trumpet of Patriots,100912,2.42,4437,3.03,159,2.55,3589,2.44,9967,1.96,119064,2.39
NSW,AJP,Animal Justice Party,48416,1.16,2216,1.51,104,1.67,1820,1.24,7319,1.44,59875,1.2
NSW,AV,Australia's Voice,30706,0.74,1619,1.11,65,1.04,1206,0.82,2874,0.57,36470,0.73
NSW,AUC,Australian Christians,48823,1.17,2355,1.61,102,1.63,1751,1.19,5754,1.13,58785,1.18
NSW,CEC,Citizens Party,8938,0.21,351,0.24,12,0.19,322,0.22,979,0.19,10602,0.21
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,13500,0.32,642,0.44,30,0.48,583,0.4,1720,0.34,16475,0.33
NSW,FFPA,Family First,68769,1.65,3043,2.08,124,1.99,2267,1.54,5783,1.14,79986,1.61
NSW,IAP,Indigenous - Aboriginal Party of Australia,27133,0.65,1675,1.15,65,1.04,1192,0.81,2112,0.42,32177,0.65
NSW,JLN,Jacqui Lambie Network,41786,1,901,0.62,60,0.96,1521,1.04,8408,1.66,52676,1.06
NSW,PFHL,Libertarian / HEART / Gerard Rennick People First,78562,1.89,2995,2.05,133,2.13,2750,1.87,8060,1.59,92500,1.86
NSW,ON,Pauline Hanson's One Nation,253387,6.08,8978,6.14,335,5.37,8923,6.08,30182,5.94,301805,6.07
NSW,SAL,Socialist Alliance,10434,0.25,487,0.33,19,0.3,511,0.35,1138,0.22,12589,0.25
NSW,SPP,Sustainable Australia Party - Universal Basic Income,13253,0.32,611,0.42,22,0.35,561,0.38,1772,0.35,16219,0.33
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,14011,0.34,609,0.42,35,0.56,577,0.39,2088,0.41,17320,0.35
VIC,ALP,Australian Labor Party,1082225,34.86,46068,31.56,1852,35.02,47458,32.37,243047,35.01,1420650,34.68
VIC,LPNP,Liberal/The Nationals,960777,30.94,35631,24.41,1267,23.96,43287,29.52,246336,35.49,1287298,31.42
VIC,GRN,The Greens,396236,12.76,25645,17.57,835,15.79,22595,15.41,64750,9.33,510061,12.45
VIC,AV,Australia's Voice,31360,1.01,1852,1.27,80,1.51,1131,0.77,5314,0.77,39737,0.97
VIC,HMP,Legalise Cannabis Party,114427,3.69,8726,5.98,253,4.78,5709,3.89,19349,2.79,148464,3.62
VIC,LTP,Libertarian,18760,0.6,982,0.67,47,0.89,971,0.66,2835,0.41,23595,0.58
VIC,CYA,Trumpet of Patriots,76840,2.47,4425,3.03,122,2.31,3937,2.69,18045,2.6,103369,2.52
VIC,AJP,Animal Justice Party,45856,1.48,2741,1.88,96,1.82,2257,1.54,13523,1.95,64473,1.57
VIC,AUD,Australian Democrats,13163,0.42,525,0.36,23,0.43,591,0.4,3022,0.44,17324,0.42
VIC,CEC,Citizens Party,7760,0.25,305,0.21,22,0.42,321,0.22,1403,0.2,9811,0.24
