2025 Federal Election House of Representatives Informal Votes By State [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-20T21:48:53 Cycle:562742f2-1c07-48de-9453-0440663f8441 Created:2025-05-20T21:47:38 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
StateAb,StateNm,FormalVotes,InformalVotes,TotalVotes,InformalPercent,InformalSwing
NSW,New South Wales,4794783,417758,5212541,8.01,1.79
VIC,Victoria,4054178,177986,4232164,4.21,-0.5
QLD,Queensland,3145538,162226,3307764,4.9,0.73
WA,Western Australia,1598929,65295,1664224,3.92,-1.6
SA,South Australia,1131995,62587,1194582,5.24,0.12
TAS,Tasmania,367353,16214,383567,4.23,-1.62
ACT,Australian Capital Territory,290577,7239,297816,2.43,-0.03
NT,Northern Territory,105464,4382,109846,3.99,-1.32
