StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,79612,Beverly Hills South (Banks),41411,COLEMAN,David,7,N,Y,LP,Liberal,141,-5.82
NSW,103,Banks,79612,Beverly Hills South (Banks),40625,COYNE,John,8,N,N,IND,Independent,4,0.89
NSW,103,Banks,79612,Beverly Hills South (Banks),999,Informal,Informal,999,N,N,NA,Informal,60,-0.98
NSW,103,Banks,121442,Blakehurst North (Banks),41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,15,5.68
NSW,103,Banks,121442,Blakehurst North (Banks),41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,6,0.36
NSW,103,Banks,121442,Blakehurst North (Banks),41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,4,1.52
NSW,103,Banks,121442,Blakehurst North (Banks),41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,6,2.27
NSW,103,Banks,121442,Blakehurst North (Banks),41486,HANNA,Natalie,5,N,N,GRN,The Greens,31,3.01
NSW,103,Banks,121442,Blakehurst North (Banks),41350,SOON,Zhi,6,Y,N,ALP,Labor,119,11.28
NSW,103,Banks,121442,Blakehurst North (Banks),41411,COLEMAN,David,7,N,Y,LP,Liberal,80,-11.44
NSW,103,Banks,121442,Blakehurst North (Banks),40625,COYNE,John,8,N,N,IND,Independent,3,1.14
NSW,103,Banks,121442,Blakehurst North (Banks),999,Informal,Informal,999,N,N,NA,Informal,28,-3.78
NSW,103,Banks,33,Blakehurst South,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,51,3.4
NSW,103,Banks,33,Blakehurst South,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,46,-2.54
NSW,103,Banks,33,Blakehurst South,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,11,0.73
NSW,103,Banks,33,Blakehurst South,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,53,3.54
NSW,103,Banks,33,Blakehurst South,41486,HANNA,Natalie,5,N,N,GRN,The Greens,140,2.19
NSW,103,Banks,33,Blakehurst South,41350,SOON,Zhi,6,Y,N,ALP,Labor,401,4.03
NSW,103,Banks,33,Blakehurst South,41411,COLEMAN,David,7,N,Y,LP,Liberal,763,-8.96
NSW,103,Banks,33,Blakehurst South,40625,COYNE,John,8,N,N,IND,Independent,33,2.2
NSW,103,Banks,33,Blakehurst South,999,Informal,Informal,999,N,N,NA,Informal,126,2.18
NSW,103,Banks,40,Carss Park,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,21,2.91
NSW,103,Banks,40,Carss Park,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,32,-0.17
NSW,103,Banks,40,Carss Park,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,1,0.14
NSW,103,Banks,40,Carss Park,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,13,1.8
NSW,103,Banks,40,Carss Park,41486,HANNA,Natalie,5,N,N,GRN,The Greens,64,2.28
NSW,103,Banks,40,Carss Park,41350,SOON,Zhi,6,Y,N,ALP,Labor,210,2.06
NSW,103,Banks,40,Carss Park,41411,COLEMAN,David,7,N,Y,LP,Liberal,361,-6.91
NSW,103,Banks,40,Carss Park,40625,COYNE,John,8,N,N,IND,Independent,19,2.64
NSW,103,Banks,40,Carss Park,999,Informal,Informal,999,N,N,NA,Informal,81,5.11
NSW,103,Banks,42,Connells Point,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,87,3.9
NSW,103,Banks,42,Connells Point,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,75,-0.44
NSW,103,Banks,42,Connells Point,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,7,0.31
NSW,103,Banks,42,Connells Point,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,93,4.17
NSW,103,Banks,42,Connells Point,41486,HANNA,Natalie,5,N,N,GRN,The Greens,205,2.05
NSW,103,Banks,42,Connells Point,41350,SOON,Zhi,6,Y,N,ALP,Labor,710,5.62
NSW,103,Banks,42,Connells Point,41411,COLEMAN,David,7,N,Y,LP,Liberal,1019,-9.43
NSW,103,Banks,42,Connells Point,40625,COYNE,John,8,N,N,IND,Independent,32,1.44
NSW,103,Banks,42,Connells Point,999,Informal,Informal,999,N,N,NA,Informal,234,2.4
NSW,103,Banks,2,East Hills,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,38,3.46
NSW,103,Banks,2,East Hills,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,54,1.82
NSW,103,Banks,2,East Hills,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,4,0.36
NSW,103,Banks,2,East Hills,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,33,3.01
NSW,103,Banks,2,East Hills,41486,HANNA,Natalie,5,N,N,GRN,The Greens,177,6.71
NSW,103,Banks,2,East Hills,41350,SOON,Zhi,6,Y,N,ALP,Labor,368,-2.12
NSW,103,Banks,2,East Hills,41411,COLEMAN,David,7,N,Y,LP,Liberal,395,-8.51
NSW,103,Banks,2,East Hills,40625,COYNE,John,8,N,N,IND,Independent,28,2.55
NSW,103,Banks,2,East Hills,999,Informal,Informal,999,N,N,NA,Informal,130,4.69
NSW,103,Banks,65425,EAV Banks PPVC,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,0,0
NSW,103,Banks,65425,EAV Banks PPVC,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,0,-9.02
NSW,103,Banks,65425,EAV Banks PPVC,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,1,4.55
NSW,103,Banks,65425,EAV Banks PPVC,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,0,0
NSW,103,Banks,65425,EAV Banks PPVC,41486,HANNA,Natalie,5,N,N,GRN,The Greens,2,3.78
NSW,103,Banks,65425,EAV Banks PPVC,41350,SOON,Zhi,6,Y,N,ALP,Labor,14,25.92
NSW,103,Banks,65425,EAV Banks PPVC,41411,COLEMAN,David,7,N,Y,LP,Liberal,5,-20.69
NSW,103,Banks,65425,EAV Banks PPVC,40625,COYNE,John,8,N,N,IND,Independent,0,0
NSW,103,Banks,65425,EAV Banks PPVC,999,Informal,Informal,999,N,N,NA,Informal,0,-4.32
NSW,103,Banks,97645,Haymarket BANKS PPVC,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,4,1.72
NSW,103,Banks,97645,Haymarket BANKS PPVC,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,4,-0.42
NSW,103,Banks,97645,Haymarket BANKS PPVC,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,1,0.43
NSW,103,Banks,97645,Haymarket BANKS PPVC,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,3,1.29
NSW,103,Banks,97645,Haymarket BANKS PPVC,41486,HANNA,Natalie,5,N,N,GRN,The Greens,30,-3.51
NSW,103,Banks,97645,Haymarket BANKS PPVC,41350,SOON,Zhi,6,Y,N,ALP,Labor,102,1.45
NSW,103,Banks,97645,Haymarket BANKS PPVC,41411,COLEMAN,David,7,N,Y,LP,Liberal,83,1
NSW,103,Banks,97645,Haymarket BANKS PPVC,40625,COYNE,John,8,N,N,IND,Independent,6,2.58
NSW,103,Banks,97645,Haymarket BANKS PPVC,999,Informal,Informal,999,N,N,NA,Informal,13,0.36
NSW,103,Banks,79613,Hurstville (Banks),41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,10,4.83
NSW,103,Banks,79613,Hurstville (Banks),41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,8,2.38
NSW,103,Banks,79613,Hurstville (Banks),41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,1,0.48
NSW,103,Banks,79613,Hurstville (Banks),41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,4,1.93
NSW,103,Banks,79613,Hurstville (Banks),41486,HANNA,Natalie,5,N,N,GRN,The Greens,29,1.98
NSW,103,Banks,79613,Hurstville (Banks),41350,SOON,Zhi,6,Y,N,ALP,Labor,87,-2.4
NSW,103,Banks,79613,Hurstville (Banks),41411,COLEMAN,David,7,N,Y,LP,Liberal,63,-6.23
NSW,103,Banks,79613,Hurstville (Banks),40625,COYNE,John,8,N,N,IND,Independent,5,2.42
NSW,103,Banks,79613,Hurstville (Banks),999,Informal,Informal,999,N,N,NA,Informal,49,10.22
NSW,103,Banks,34046,Hurstville BANKS PPVC,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,93,2.46
NSW,103,Banks,34046,Hurstville BANKS PPVC,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,90,-0.09
NSW,103,Banks,34046,Hurstville BANKS PPVC,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,37,0.98
NSW,103,Banks,34046,Hurstville BANKS PPVC,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,66,1.75
NSW,103,Banks,34046,Hurstville BANKS PPVC,41486,HANNA,Natalie,5,N,N,GRN,The Greens,339,1.05
NSW,103,Banks,34046,Hurstville BANKS PPVC,41350,SOON,Zhi,6,Y,N,ALP,Labor,1637,3.39
NSW,103,Banks,34046,Hurstville BANKS PPVC,41411,COLEMAN,David,7,N,Y,LP,Liberal,1463,-5.02
NSW,103,Banks,34046,Hurstville BANKS PPVC,40625,COYNE,John,8,N,N,IND,Independent,49,1.3
NSW,103,Banks,34046,Hurstville BANKS PPVC,999,Informal,Informal,999,N,N,NA,Informal,689,9.6
NSW,103,Banks,45,Hurstville Grove,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,27,2.38
NSW,103,Banks,45,Hurstville Grove,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,18,-1.14
NSW,103,Banks,45,Hurstville Grove,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,5,0.44
NSW,103,Banks,45,Hurstville Grove,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,21,1.85
NSW,103,Banks,45,Hurstville Grove,41486,HANNA,Natalie,5,N,N,GRN,The Greens,137,2.04
NSW,103,Banks,45,Hurstville Grove,41350,SOON,Zhi,6,Y,N,ALP,Labor,441,6.17
NSW,103,Banks,45,Hurstville Grove,41411,COLEMAN,David,7,N,Y,LP,Liberal,467,-5.13
NSW,103,Banks,45,Hurstville Grove,40625,COYNE,John,8,N,N,IND,Independent,17,1.5
NSW,103,Banks,45,Hurstville Grove,999,Informal,Informal,999,N,N,NA,Informal,89,0.8
NSW,103,Banks,43,Hurstville South,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,32,5.25
NSW,103,Banks,43,Hurstville South,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,22,0.83
NSW,103,Banks,43,Hurstville South,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,3,0.49
NSW,103,Banks,43,Hurstville South,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,16,2.62
NSW,103,Banks,43,Hurstville South,41486,HANNA,Natalie,5,N,N,GRN,The Greens,58,1.17
NSW,103,Banks,43,Hurstville South,41350,SOON,Zhi,6,Y,N,ALP,Labor,252,1.68
NSW,103,Banks,43,Hurstville South,41411,COLEMAN,David,7,N,Y,LP,Liberal,213,-4.13
NSW,103,Banks,43,Hurstville South,40625,COYNE,John,8,N,N,IND,Independent,14,2.3
NSW,103,Banks,43,Hurstville South,999,Informal,Informal,999,N,N,NA,Informal,76,3.41
NSW,103,Banks,4,Lugarno,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,42,2.65
NSW,103,Banks,4,Lugarno,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,47,0.42
NSW,103,Banks,4,Lugarno,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,8,0.51
NSW,103,Banks,4,Lugarno,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,48,3.03
NSW,103,Banks,4,Lugarno,41486,HANNA,Natalie,5,N,N,GRN,The Greens,170,2.96
NSW,103,Banks,4,Lugarno,41350,SOON,Zhi,6,Y,N,ALP,Labor,506,5.92
NSW,103,Banks,4,Lugarno,41411,COLEMAN,David,7,N,Y,LP,Liberal,748,-8.04
NSW,103,Banks,4,Lugarno,40625,COYNE,John,8,N,N,IND,Independent,15,0.95
NSW,103,Banks,4,Lugarno,999,Informal,Informal,999,N,N,NA,Informal,111,0.2
NSW,103,Banks,97647,Lugarno North,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,11,2.64
NSW,103,Banks,97647,Lugarno North,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,27,2.57
NSW,103,Banks,97647,Lugarno North,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,5,1.2
NSW,103,Banks,97647,Lugarno North,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,12,2.88
NSW,103,Banks,97647,Lugarno North,41486,HANNA,Natalie,5,N,N,GRN,The Greens,30,0.25
NSW,103,Banks,97647,Lugarno North,41350,SOON,Zhi,6,Y,N,ALP,Labor,109,0.91
NSW,103,Banks,97647,Lugarno North,41411,COLEMAN,David,7,N,Y,LP,Liberal,215,-4.07
NSW,103,Banks,97647,Lugarno North,40625,COYNE,John,8,N,N,IND,Independent,7,1.68
NSW,103,Banks,97647,Lugarno North,999,Informal,Informal,999,N,N,NA,Informal,39,3.96
NSW,103,Banks,174,Milperra,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,59,3.8
NSW,103,Banks,174,Milperra,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,84,-0.95
NSW,103,Banks,174,Milperra,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,16,1.03
NSW,103,Banks,174,Milperra,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,34,2.19
NSW,103,Banks,174,Milperra,41486,HANNA,Natalie,5,N,N,GRN,The Greens,180,4.48
NSW,103,Banks,174,Milperra,41350,SOON,Zhi,6,Y,N,ALP,Labor,508,-4.48
NSW,103,Banks,174,Milperra,41411,COLEMAN,David,7,N,Y,LP,Liberal,639,-1.76
NSW,103,Banks,174,Milperra,40625,COYNE,John,8,N,N,IND,Independent,31,2
NSW,103,Banks,174,Milperra,999,Informal,Informal,999,N,N,NA,Informal,184,3.42
NSW,103,Banks,109347,Mortdale BANKS PPVC,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,380,2.87
NSW,103,Banks,109347,Mortdale BANKS PPVC,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,382,0.77
NSW,103,Banks,109347,Mortdale BANKS PPVC,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,53,0.4
NSW,103,Banks,109347,Mortdale BANKS PPVC,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,474,3.58
NSW,103,Banks,109347,Mortdale BANKS PPVC,41486,HANNA,Natalie,5,N,N,GRN,The Greens,1179,1.23
NSW,103,Banks,109347,Mortdale BANKS PPVC,41350,SOON,Zhi,6,Y,N,ALP,Labor,4685,-5.09
NSW,103,Banks,109347,Mortdale BANKS PPVC,41411,COLEMAN,David,7,N,Y,LP,Liberal,5859,0.46
NSW,103,Banks,109347,Mortdale BANKS PPVC,40625,COYNE,John,8,N,N,IND,Independent,245,1.85
NSW,103,Banks,109347,Mortdale BANKS PPVC,999,Informal,Informal,999,N,N,NA,Informal,920,1.03
NSW,103,Banks,55,Mortdale Central,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,50,3.73
NSW,103,Banks,55,Mortdale Central,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,59,0.85
NSW,103,Banks,55,Mortdale Central,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,8,0.6
NSW,103,Banks,55,Mortdale Central,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,51,3.8
NSW,103,Banks,55,Mortdale Central,41486,HANNA,Natalie,5,N,N,GRN,The Greens,215,5.82
NSW,103,Banks,55,Mortdale Central,41350,SOON,Zhi,6,Y,N,ALP,Labor,469,3.88
NSW,103,Banks,55,Mortdale Central,41411,COLEMAN,David,7,N,Y,LP,Liberal,461,-11.25
NSW,103,Banks,55,Mortdale Central,40625,COYNE,John,8,N,N,IND,Independent,29,2.16
NSW,103,Banks,55,Mortdale Central,999,Informal,Informal,999,N,N,NA,Informal,153,4.48
NSW,103,Banks,56,Mortdale East,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,21,2.22
NSW,103,Banks,56,Mortdale East,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,39,0.86
NSW,103,Banks,56,Mortdale East,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,20,2.11
NSW,103,Banks,56,Mortdale East,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,22,2.32
NSW,103,Banks,56,Mortdale East,41486,HANNA,Natalie,5,N,N,GRN,The Greens,157,5.15
NSW,103,Banks,56,Mortdale East,41350,SOON,Zhi,6,Y,N,ALP,Labor,417,5.65
NSW,103,Banks,56,Mortdale East,41411,COLEMAN,David,7,N,Y,LP,Liberal,256,-12.69
NSW,103,Banks,56,Mortdale East,40625,COYNE,John,8,N,N,IND,Independent,15,1.58
NSW,103,Banks,56,Mortdale East,999,Informal,Informal,999,N,N,NA,Informal,81,1.29
NSW,103,Banks,5,Mortdale West,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,30,2.24
NSW,103,Banks,5,Mortdale West,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,55,1.06
NSW,103,Banks,5,Mortdale West,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,14,1.04
NSW,103,Banks,5,Mortdale West,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,47,3.5
NSW,103,Banks,5,Mortdale West,41486,HANNA,Natalie,5,N,N,GRN,The Greens,194,4.74
NSW,103,Banks,5,Mortdale West,41350,SOON,Zhi,6,Y,N,ALP,Labor,491,1.61
NSW,103,Banks,5,Mortdale West,41411,COLEMAN,David,7,N,Y,LP,Liberal,483,-5.75
NSW,103,Banks,5,Mortdale West,40625,COYNE,John,8,N,N,IND,Independent,27,2.01
NSW,103,Banks,5,Mortdale West,999,Informal,Informal,999,N,N,NA,Informal,167,5.09
NSW,103,Banks,6,Narwee,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,64,3.3
NSW,103,Banks,6,Narwee,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,62,0.71
NSW,103,Banks,6,Narwee,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,13,0.67
NSW,103,Banks,6,Narwee,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,46,2.37
NSW,103,Banks,6,Narwee,41486,HANNA,Natalie,5,N,N,GRN,The Greens,288,4.83
NSW,103,Banks,6,Narwee,41350,SOON,Zhi,6,Y,N,ALP,Labor,802,1.29
NSW,103,Banks,6,Narwee,41411,COLEMAN,David,7,N,Y,LP,Liberal,631,-7.93
NSW,103,Banks,6,Narwee,40625,COYNE,John,8,N,N,IND,Independent,34,1.75
NSW,103,Banks,6,Narwee,999,Informal,Informal,999,N,N,NA,Informal,333,4.75
NSW,103,Banks,58,Oatley,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,32,2.83
NSW,103,Banks,58,Oatley,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,25,0.17
NSW,103,Banks,58,Oatley,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,12,1.06
NSW,103,Banks,58,Oatley,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,31,2.75
